"","district","group"
"1","Chibombo",3
"2","Chisamba",3
"3","Chitambo",2
"4","Itezhi_tezhi",3
"5","Kabwe",3
"6","Kapiri_Mposhi",2
"7","Luano",3
"8","Mkushi",3
"9","Mumbwa",3
"10","Ngabwe",3
"11","Serenje",3
"12","Shibuyunji",3
"13","Chililabombwe",2
"14","Chingola",2
"15","Kalulushi",2
"16","Kitwe",3
"17","Luanshya",2
"18","Lufwanyama",2
"19","Masaiti",3
"20","Mpongwe",3
"21","Mufulira",3
"22","Ndola",3
"23","Chadiza",3
"24","Chasefu",3
"25","Chipangali",3
"26","Chipata",3
"27","Kasenengwa",3
"28","Katete",3
"29","Lumezi",2
"30","Lundazi",3
"31","Lusangazi",3
"32","Mambwe",3
"33","Nyimba",1
"34","Petauke",3
"35","Sinda",3
"36","Vubwi",3
"37","Chembe",1
"38","Chiengi",2
"39","Chifunabuli",1
"40","Chipili",2
"41","Kawambwa",2
"42","Lunga",2
"43","Mansa",2
"44","Milengi",2
"45","Mwansabombwe",2
"46","Mwense",2
"47","Nchelenge",2
"48","Samfya",2
"49","Chilanga",3
"50","Chirundu",1
"51","Chongwe",3
"52","Kafue",3
"53","Luangwa",3
"54","Lusaka",3
"55","Rufunsa",3
"56","Chama",2
"57","Chinsali",3
"58","Isoka",3
"59","Kanchibiya",2
"60","Lavushimanda",3
"61","Mafinga",2
"62","Mpika",2
"63","Nakonde",2
"64","Shiwang_andu",2
"65","Chavuma",1
"66","Ikelenge",2
"67","Kabompo",2
"68","Kalumbila",2
"69","Kasempa",3
"70","Manyinga",1
"71","Mufumbwe",2
"72","Mushindano",2
"73","Mwinilunga",2
"74","Solwezi",3
"75","Zambezi",2
"76","Chilubi",2
"77","Kaputa",2
"78","Kasama",2
"79","Lunte",1
"80","Lupososhi",2
"81","Luwingu",1
"82","Mbala",2
"83","Mporokoso",2
"84","Mpulungu",1
"85","Mungwi",1
"86","Nsama",2
"87","Senga_Hill",2
"88","Chikankanta",3
"89","Choma",1
"90","Gwembe",1
"91","Kalomo",1
"92","Kazungula",1
"93","Livingstone",1
"94","Mazabuka",3
"95","Monze",3
"96","Namwala",1
"97","Pemba",3
"98","Siavonga",1
"99","Sinazongwe",1
"100","Zimba",1
"101","Kalabo",1
"102","Kaoma",2
"103","Limulunga",2
"104","Luampa",1
"105","Lukulu",3
"106","Mitete",1
"107","Mongu",2
"108","Mulobezi",2
"109","Mwandi",1
"110","Nalolo",1
"111","Nkeyema",1
"112","Senanga",1
"113","Sesheke",1
"114","Shangombo",1
"115","Sikongo",1
"116","Sioma",1
